Country Name,Country Code,poblacion,clima,vecinos,puerto,vuelo
Afganistán,AFG,43844000,Templado,"Iran, Pakistán, Turkmenistán, Uzbekistán, Tayikistán, China",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Alandia,ALA,30654,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Albania,ALB,2363314,Templado,"Montenegro, Grecia, Macedonia del Norte, Kosovo",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Alemania,DEU,83491249,Frío,"Austria, Bélgica, Chequia, Dinamarca, Francia, Luxemburgo, Países Bajos, Polonia, Suiza",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Andorra,AND,88406,Templado,"Francia, España",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Angola,AGO,36170961,Cálido,"Congo, Congo (Rep. Dem.), Zambia, Namibia",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Anguilla,AIA,16010,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Antigua y Barbuda,ATG,103603,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Antártida,ATA,1300,Frío,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Arabia Saudí,SAU,35300280,Templado,"Irak, Jordania, Kuwait, Omán, Catar, Emiratos Árabes Unidos, Yemen",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Argelia,DZA,47400000,Templado,"Túnez, Libia, Níger, Sahara Occidental, Mauritania, Mali, Marruecos",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Argentina,ARG,46735004,Templado,"Bolivia, Brasil, Chile, Paraguay, Uruguay",Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Armenia,ARM,3076200,Templado,"Azerbaiyán, Georgia, Iran, Turquía",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
Aruba,ABW,107566,Cálido,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Australia,AUS,27536874,Templado,Ninguno (Isla/Aislado),Acceso a Océano/Mar,Accesible (Rutas Internacionales)
Austria,AUT,9200931,Templado,"Chequia, Alemania, Hungría, Italia, Liechtenstein, República Eslovaca, Eslovenia, Suiza",Sin acceso directo (Uso de puertos vecinos),Accesible (Rutas Internacionales)
